ID,Type,Utterance,Dialog_Act,Dialog_Act_1,Emotion,Dialog_Act_Label
1_0,P,I think I want to eat healthy.,id,,,0
1_1,P,I want to completely cut out fast food. I want to have more set meals and I just want to eat healthy food. Okay.,id,,,0
1_2,P,I think I at least needs to go to the grocery. Okay.,id,,,0
1_3,T,Is that something that you haven't been doing?,irq,,,1
1_4,P,"No, not lately. I've just been grabbing food at work, or going through fast food on the way home. Okay.",id,,,0
1_5,P,"Like, I just haven't had the energy or desire to go and I've also been been working a lot trying to save up money for the baby. Finding the time might be hard. Okay,",id,,,0
1_6,P,"I used to go every week on Sunday. And I used to already have a list in mind before I went,",id,,,0
1_7,P,That would probably make it more likely for me to go. I don't have to be at work until the afternoon that day. So I can maybe go asleep and a little bit maybe at like 10 o'clock on Sunday.,id,,,0
1_8,P,"Well, lately when I haven't felt like doing things that I really need to do, I'll give myself a reward. And I know that there's this great bakery on the way. So if I tell myself, if I go to the grocery, then I can stop by the bakery on the way home, then I may be more likely to go.",id,,,0
10_0,T,"Hello stone, ",gt,,,2
10_1,P,yes.,gt,,,2
10_2,T,"Hi, I'm PJ Daniels. Sorry, let me wash my hands.",gc,,,3
10_3,P,"Call me, Dorothy.",gc,,,3
10_4,T,"Oh, thank you. That's the next thing I was going to ask you. So Dorothy, the nurse mentioned to me that you wanted to talk about your care is but what's going on?",irq,,,1
10_5,P,"Five days ago, I was admitted to emergency. And they treated me by putting this tube down my throat. And I tried to, to tell them and gesture at them that I don't want this tube down my throat. And I just hope that never happens again.",id,,,0
10_6,T,"Okay. No, I totally understand that. I mean, that is quite a scary thing to go through. And I think we do need to talk about this more, and I'm glad that you've asked it. Talk to me about this. So I had a little bit of a look through your charts. I think I understand why they did it. But did anybody explain it to you?",irq,,,1
10_7,P,"Well, not really. And because I was gasping for air and in the state I was, but I'll tell you what, I'm really worried that this won't happen to me again. I don't want that to be anymore. I'm, I'm okay to to pass this. ",id,,,0
10_8,T,"Absolutely. And you know what? There's no right answer when it comes to deciding on things that are aggressive, like the two, we really want to know what the patient values in terms of, you know, things that are that invasive, and so absolutely will respect whatever it is that you want. But I do need to find out a little bit more about you in terms of what is your understanding of what brought you into hospital.",irq,,,1
10_9,P,"Well, I have congested Part failure. And I guess there was water in my lungs and stopping me from breathing properly. So I was living in my soul, the ambulance brought me in to the emergency. So they that was how they were treating me.",id,,,0
10_10,T,So you pretty much showed up to emergency. And very quickly they put that tube down.,irq,,,1
10_11,P,That's correct.,id,,,0
10_12,T,Did anybody ask you if you were okay with that?,irq,,,1
10_13,P,"Well, I tried to gesture to them that I don't want the tube but",id,,,0
10_14,T,they didn't quite pick up on that.,irq,,,1
10_15,P,"I guess not. And, you know, I've had that three times already. I don't want to go through with",id,,,0
10_16,T,the two you've had.,irq,,,1
10_17,P,Yes. I don't want it anymore.,id,,,0
10_18,T,"Okay. And so so you have congestive heart failure, and it sounds like you've got a breathing problem. Yes. And do you know why they would have put the tube down. Do you know what they were trying to do?",irq,,,1
10_19,P,"I guess because I was short of air. I had a hard time breathing, right? So they tried to, like, I'm going to use the word save me.",id,,,0
10_20,T,"Right. So it sounds like you understand that. I mean, usually we only put a tube in. If that was the only thing we could do to save you. Most of the time of congestive heart failure. We'll give some medications. Have you heard of lasix? Or furosemide? No, okay. It's a medication will often give if someone is in heart failure, but if someone is really sick, and then we don't think we have time to give it that's the time we would think of a breathing tube. haven't had a chance to look through the chart, but it would suggest to me you were pretty close to dying when you came in.",irq,,,1
10_21,P,"I I guess so. But I'm okay with dying. Okay. You know, like I says, I've lived a good life and if it If the good Lord says that it's my time, I'm okay with that. And you wouldn't put it to",id,,,0
10_22,T,"No, my know already what I'm hearing from you. Exactly. I'm just gonna say exactly what you've said, sounds like you've lived a good life. You've been through this a few times, you know exactly what it involves. And if I could paraphrase to you quality of life is more important than quantity at this stage. Is that correct?",irq,,,1
10_23,P,"That is correct. And, but you know, what, doctor? How can I be assured that my wishes are respected, so I don't get this tube down?",id,,,0
10_24,T,"That's an excellent question. So first, I did want to answer your previous question, based on what we're talking about. Absolutely. I agree with you that it is your wish, and we will respect that wish that we're not going to put a breathing tube down again. And then of course, your second question, which is great, as well as how do we make sure this doesn't happen? So what I'm going to do after our conversation, and I do have a few more questions, To ask you but after conversation, I write a note documenting what we talked about that we talked about the breathing too. And your reasons for why you don't want it, which of course makes sense to me. And then what I do is I document a short form called goals of care. And I just so it's a really easy way for everyone to look at the form and in two seconds, I know exactly what you want, we will give you a copy of that to take home. But I find that's not usually enough. What we also do, what I do is I tend to when you leave hospital, dictate a note to your family doctor. And that notes actually available online for anyone who might see you in any emergency department in Alberta. And in that note will very clearly state you and I have this conversation and you really didn't want the breathing to so I reassure you, we'll do everything we can to make sure people understand you don't want that to Okay.",irq,,,1
10_25,P,"All Thank you. I'm I was so concerned about that and yes, I I think I will rest now because like I say, that was a horrendous experience. And he says it won't happen again.",id,,,0
10_26,T,"Okay. I do want to ask you just a few other questions related to this. Go ahead. And the first question might sound a little off putting, but I sort of have to ask it anytime someone is changing the kind of therapy they want. We do have to ask, how was your mood? How are you feeling?",irq,,,1
10_27,P,I'm I'm feeling fine. My mood is fine. I have no no problems.,id,,,0
10_28,T," Okay, excellent. And how are you feeling overall about life before you came into hospital? Like when you're healthy as healthy as you can be? Say a few weeks ago?",irq,,,1
10_29,P,"I think I am enjoying life. Okay. Yes, I am enjoying life to the to the best I can. ",id,,,0
10_30,T,"Okay, great. Yeah. And then other related questions, we did talk about the two that we wouldn't put it in. But again, we want to make sure we know everything that you might want or not want. Okay? So if we had to give you medications to get your breathing better, is that something you'd be willing to have?",irq,,,1
10_31,P,"Certainly, Oh, yes. Oh, look at medication, just not the intubation.",irq,,,1
10_32,T,"Okay. And then usually along the lines with the intubation when people don't want the intubation, we often also want to know, if a nurse were to walk into the room and find just by bad luck, you would pass away or if someone just found you at home, who had passed away. Would you ever want people pushing on your chest and giving you shocks trying to bring you back to life?",irq,,,1
10_33,P,"No, no, no, I like I said, the good Lord knows when it's my time.",id,,,0
